date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:25:36	445094/445094	---M--	200	added ('OK')	image/jpeg	etag:%223e3eeb-6caa6-5633f302e8d80%22	http://lab.thesoftking.com/lending/assets/images/interface/story.jpg	C:/Users/raja.G/Desktop/eeee/lab.thesoftking.com/lending/assets/images/interface/story.jpg	(from http://lab.thesoftking.com/lending/)
16:25:49	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%2238264c-12d68-5633f30100900%22	http://lab.thesoftking.com/lending/assets/front/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/raja.G/Desktop/eeee/lab.thesoftking.com/lending/assets/front/fonts/fontawesome-webfont3e6e.woff2	(from http://lab.thesoftking.com/lending/assets/front/css/font-awesome.min.css)
16:25:50	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2238264d-2876e-5633f30100900%22	http://lab.thesoftking.com/lending/assets/front/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Users/raja.G/Desktop/eeee/lab.thesoftking.com/lending/assets/front/fonts/fontawesome-webfont3e6e.eot	(from http://lab.thesoftking.com/lending/assets/front/css/font-awesome.min.css)
16:25:51	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2238264d-2876e-5633f30100900%22	http://lab.thesoftking.com/lending/assets/front/fonts/fontawesome-webfont.eot?	C:/Users/raja.G/Desktop/eeee/lab.thesoftking.com/lending/assets/front/fonts/fontawesome-webfontd41d.eot	(from http://lab.thesoftking.com/lending/assets/front/css/font-awesome.min.css)
16:25:58	444379/444379	---M--	200	added ('OK')	image/svg+xml	etag:%2238264f-6c7db-5633f30100900%22	http://lab.thesoftking.com/lending/assets/front/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/raja.G/Desktop/eeee/lab.thesoftking.com/lending/assets/front/fonts/fontawesome-webfont3e6e.svg	(from http://lab.thesoftking.com/lending/assets/front/css/font-awesome.min.css)
16:26:00	4976/4976	---M--	200	added ('OK')	image/png	etag:%2238263c-1370-5633f30100900%22	http://lab.thesoftking.com/lending/assets/front/owlcarousel/assets/owl.video.play.png	C:/Users/raja.G/Desktop/eeee/lab.thesoftking.com/lending/assets/front/owlcarousel/assets/owl.video.play.png	(from http://lab.thesoftking.com/lending/assets/front/owlcarousel/assets/owl.carousel.min.css)
16:26:04	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22382653-4e9f-5633f30100900%22	http://lab.thesoftking.com/lending/assets/front/fonts/glyphicons-halflings-regular.eot	C:/Users/raja.G/Desktop/eeee/lab.thesoftking.com/lending/assets/front/fonts/glyphicons-halflings-regular.eot	(from http://lab.thesoftking.com/lending/assets/front/css/bootstrap.min.css)
16:26:07	98024/98024	---M--	200	added ('OK')	font/woff	etag:%2238264e-17ee8-5633f30100900%22	http://lab.thesoftking.com/lending/assets/front/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Users/raja.G/Desktop/eeee/lab.thesoftking.com/lending/assets/front/fonts/fontawesome-webfont3e6e.woff	(from http://lab.thesoftking.com/lending/assets/front/css/font-awesome.min.css)
16:26:08	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22382653-4e9f-5633f30100900%22	http://lab.thesoftking.com/lending/assets/front/fonts/glyphicons-halflings-regular.eot?	C:/Users/raja.G/Desktop/eeee/lab.thesoftking.com/lending/assets/front/fonts/glyphicons-halflings-regulard41d.eot	(from http://lab.thesoftking.com/lending/assets/front/css/bootstrap.min.css)
16:26:11	18028/18028	---M--	200	added ('OK')	font/woff2	etag:%22382650-466c-5633f30100900%22	http://lab.thesoftking.com/lending/assets/front/fonts/glyphicons-halflings-regular.woff2	C:/Users/raja.G/Desktop/eeee/lab.thesoftking.com/lending/assets/front/fonts/glyphicons-halflings-regular.woff2	(from http://lab.thesoftking.com/lending/assets/front/css/bootstrap.min.css)
16:26:12	23424/23424	---M--	200	added ('OK')	font/woff	etag:%22382652-5b80-5633f30100900%22	http://lab.thesoftking.com/lending/assets/front/fonts/glyphicons-halflings-regular.woff	C:/Users/raja.G/Desktop/eeee/lab.thesoftking.com/lending/assets/front/fonts/glyphicons-halflings-regular.woff	(from http://lab.thesoftking.com/lending/assets/front/css/bootstrap.min.css)
16:26:15	108738/108738	---M--	200	added ('OK')	image/svg+xml	etag:%2238264a-1a8c2-5633f30100900%22	http://lab.thesoftking.com/lending/assets/front/fonts/glyphicons-halflings-regular.svg	C:/Users/raja.G/Desktop/eeee/lab.thesoftking.com/lending/assets/front/fonts/glyphicons-halflings-regular.svg	(from http://lab.thesoftking.com/lending/assets/front/css/bootstrap.min.css)
16:26:16	396/396	---MC-	302	error ('Found')	text/html	date:Sat,%2009%20Jun%202018%2010:56:22%20GMT	http://lab.thesoftking.com/lending/assets/front/images/background/header-bg.jpg	C:/Users/raja.G/Desktop/eeee/lab.thesoftking.com/lending/assets/front/images/background/header-bg.jpg	(from http://lab.thesoftking.com/lending/assets/front/css/style.css)
16:26:17	3934/3934	---MC-	200	added ('OK')	text/html	date:Sat,%2009%20Jun%202018%2010:56:23%20GMT	http://lab.thesoftking.com/lending/404	C:/Users/raja.G/Desktop/eeee/lab.thesoftking.com/lending/404.html	(from http://lab.thesoftking.com/lending/assets/front/css/style.css)
16:26:18	396/396	---MC-	302	error ('Found')	text/html	date:Sat,%2009%20Jun%202018%2010:56:24%20GMT	http://lab.thesoftking.com/lending/assets/front/images/get-hosting-icon.png	C:/Users/raja.G/Desktop/eeee/lab.thesoftking.com/lending/assets/front/images/get-hosting-icon.png	(from http://lab.thesoftking.com/lending/assets/front/css/style.css)
16:26:19	396/396	---MC-	302	error ('Found')	text/html	date:Sat,%2009%20Jun%202018%2010:56:25%20GMT	http://lab.thesoftking.com/lending/assets/front/images/background/team-bg.jpg	C:/Users/raja.G/Desktop/eeee/lab.thesoftking.com/lending/assets/front/images/background/team-bg.jpg	(from http://lab.thesoftking.com/lending/assets/front/css/style.css)
16:26:19	396/396	---MC-	302	error ('Found')	text/html	date:Sat,%2009%20Jun%202018%2010:56:26%20GMT	http://lab.thesoftking.com/lending/assets/front/images/background/pricing-bg.jpg	C:/Users/raja.G/Desktop/eeee/lab.thesoftking.com/lending/assets/front/images/background/pricing-bg.jpg	(from http://lab.thesoftking.com/lending/assets/front/css/style.css)
16:26:20	45404/45404	---M--	200	added ('OK')	font/ttf	etag:%2238264b-b15c-5633f30100900%22	http://lab.thesoftking.com/lending/assets/front/fonts/glyphicons-halflings-regular.ttf	C:/Users/raja.G/Desktop/eeee/lab.thesoftking.com/lending/assets/front/fonts/glyphicons-halflings-regular.ttf	(from http://lab.thesoftking.com/lending/assets/front/css/bootstrap.min.css)
16:26:20	396/396	---MC-	302	error ('Found')	text/html	date:Sat,%2009%20Jun%202018%2010:56:26%20GMT	http://lab.thesoftking.com/lending/assets/front/images/slider-scale.png	C:/Users/raja.G/Desktop/eeee/lab.thesoftking.com/lending/assets/front/images/slider-scale.png	(from http://lab.thesoftking.com/lending/assets/front/css/style.css)
16:26:20	165548/165548	---M--	200	added ('OK')	font/ttf	etag:%22382654-286ac-5633f30100900%22	http://lab.thesoftking.com/lending/assets/front/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Users/raja.G/Desktop/eeee/lab.thesoftking.com/lending/assets/front/fonts/fontawesome-webfont3e6e.ttf	(from http://lab.thesoftking.com/lending/assets/front/css/font-awesome.min.css)
16:26:22	16828/16828	---MCZ	200	added ('OK')	text/css	etag:W/%225a96346d-41bc%22	https://cdnjs.cloudflare.com/ajax/libs/sweetalert/1.1.3/sweetalert.min.css	C:/Users/raja.G/Desktop/eeee/cdnjs.cloudflare.com/ajax/libs/sweetalert/1.1.3/sweetalert.min.css	(from http://lab.thesoftking.com/lending/login)
16:26:23	16977/16977	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a96346d-4251%22	https://cdnjs.cloudflare.com/ajax/libs/sweetalert/1.1.3/sweetalert.min.js	C:/Users/raja.G/Desktop/eeee/cdnjs.cloudflare.com/ajax/libs/sweetalert/1.1.3/sweetalert.min.js	(from http://lab.thesoftking.com/lending/login)
16:26:24	4437/4437	---MC-	200	added ('OK')	text/html	date:Sat,%2009%20Jun%202018%2010:56:30%20GMT	http://lab.thesoftking.com/lending/password/reset	C:/Users/raja.G/Desktop/eeee/lab.thesoftking.com/lending/password/reset.html	(from http://lab.thesoftking.com/lending/login)
16:26:28	487212/487212	---M--	200	added ('OK')	application/javascript	etag:%22382645-76f2c-5633f30100900%22	http://lab.thesoftking.com/lending/assets/front/js/jquery-ui-slider.min.js	C:/Users/raja.G/Desktop/eeee/lab.thesoftking.com/lending/assets/front/js/jquery-ui-slider.min.js	(from http://lab.thesoftking.com/lending/)
16:26:30	404/404	---MC-	302	error ('Found')	text/html	date:Sat,%2009%20Jun%202018%2010:56:37%20GMT	http://lab.thesoftking.com/lending/home	C:/Users/raja.G/Desktop/eeee/lab.thesoftking.com/lending/home.36.delayed	(from http://lab.thesoftking.com/lending/404)
16:26:30	109712/109712	---M--	200	added ('OK')	image/jpeg	etag:%223e3ef8-1ac90-5633f302e8d80%22	http://lab.thesoftking.com/lending/assets/images/logo/bc.jpg	C:/Users/raja.G/Desktop/eeee/lab.thesoftking.com/lending/assets/images/logo/bc.jpg	(from http://lab.thesoftking.com/lending/login)
